RESPALDO,MARCA,REFERENCIA,CILINDRAJE,KILOMETRAJE,Cambio,,,,,
AKT,VOGE,300 DS,300,"90,000",,,,,,
AKT,VOGE,300 DS,300,"90,500",,,,,,
AKT,VOGE,300 DS,300,"91,000",,,,,,
AKT,VOGE,300 DS,300,"91,500",,,,,,
AKT,VOGE,300 DS,300,"92,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"92,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"93,000",,,,,,
AKT,VOGE,300 DS,300,"93,500",,,,,,
AKT,VOGE,300 DS,300,"94,000",,,,,,
AKT,VOGE,300 DS,300,"94,500",,,,,,
AKT,VOGE,300 DS,300,"95,000",,,,,,
AKT,VOGE,300 DS,300,"95,500",,,,,,
AKT,VOGE,300 DS,300,"96,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"96,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"97,000",,,,,,
AKT,VOGE,300 DS,300,"97,500",,,,,,
AKT,VOGE,300 DS,300,"98,000",,,,,,
AKT,VOGE,300 DS,300,"98,500",,,,,,
AKT,VOGE,300 DS,300,"99,000",,,,,,
AKT,VOGE,300 DS,300,"99,500",,,,,,
AKT,VOGE,300 DS,300,"100,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"100,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"101,000",,,,,,
AKT,VOGE,300 DS,300,"101,500",,,,,,
AKT,VOGE,300 DS,300,"102,000",,,,,,
AKT,VOGE,300 DS,300,"102,500",,,,,,
AKT,VOGE,300 DS,300,"103,000",,,,,,
AKT,VOGE,300 DS,300,"103,500",,,,,,
AKT,VOGE,300 DS,300,"104,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"104,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"105,000",,,,,,
AKT,VOGE,300 DS,300,"105,500",,,,,,
AKT,VOGE,300 DS,300,"106,000",,,,,,
AKT,VOGE,300 DS,300,"106,500",,,,,,
AKT,VOGE,300 DS,300,"107,000",,,,,,
AKT,VOGE,300 DS,300,"107,500",,,,,,
AKT,VOGE,300 DS,300,"108,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"108,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"109,000",,,,,,
AKT,VOGE,300 DS,300,"109,500",,,,,,
AKT,VOGE,300 DS,300,"110,000",,,,,,
AKT,VOGE,300 DS,300,"110,500",,,,,,
AKT,VOGE,300 DS,300,"111,000",,,,,,
AKT,VOGE,300 DS,300,"111,500",,,,,,
AKT,VOGE,300 DS,300,"112,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"112,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"113,000",,,,,,
AKT,VOGE,300 DS,300,"113,500",,,,,,
AKT,VOGE,300 DS,300,"114,000",,,,,,
AKT,VOGE,300 DS,300,"114,500",,,,,,
AKT,VOGE,300 DS,300,"115,000",,,,,,
AKT,VOGE,300 DS,300,"115,500",,,,,,
AKT,VOGE,300 DS,300,"116,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"116,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"117,000",,,,,,
AKT,VOGE,300 DS,300,"117,500",,,,,,
AKT,VOGE,300 DS,300,"118,000",,,,,,
AKT,VOGE,300 DS,300,"118,500",,,,,,
AKT,VOGE,300 DS,300,"119,000",,,,,,
AKT,VOGE,300 DS,300,"119,500",,,,,,
AKT,VOGE,300 DS,300,"120,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"120,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"121,000",,,,,,
AKT,VOGE,300 DS,300,"121,500",,,,,,
AKT,VOGE,300 DS,300,"122,000",,,,,,
AKT,VOGE,300 DS,300,"122,500",,,,,,
AKT,VOGE,300 DS,300,"123,000",,,,,,
AKT,VOGE,300 DS,300,"123,500",,,,,,
AKT,VOGE,300 DS,300,"124,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"124,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"125,000",,,,,,
AKT,VOGE,300 DS,300,"125,500",,,,,,
AKT,VOGE,300 DS,300,"126,000",,,,,,
AKT,VOGE,300 DS,300,"126,500",,,,,,
AKT,VOGE,300 DS,300,"127,000",,,,,,
AKT,VOGE,300 DS,300,"127,500",,,,,,
AKT,VOGE,300 DS,300,"128,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"128,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"129,000",,,,,,
AKT,VOGE,300 DS,300,"129,500",,,,,,
AKT,VOGE,300 DS,300,"130,000",,,,,,
AKT,VOGE,300 DS,300,"130,500",,,,,,
AKT,VOGE,300 DS,300,"131,000",,,,,,
AKT,VOGE,300 DS,300,"131,500",,,,,,
AKT,VOGE,300 DS,300,"132,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"132,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"133,000",,,,,,
AKT,VOGE,300 DS,300,"133,500",,,,,,
AKT,VOGE,300 DS,300,"134,000",,,,,,
AKT,VOGE,300 DS,300,"134,500",,,,,,
AKT,VOGE,300 DS,300,"135,000",,,,,,
AKT,VOGE,300 DS,300,"135,500",,,,,,
AKT,VOGE,300 DS,300,"136,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"136,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"137,000",,,,,,
AKT,VOGE,300 DS,300,"137,500",,,,,,
AKT,VOGE,300 DS,300,"138,000",,,,,,
AKT,VOGE,300 DS,300,"138,500",,,,,,
AKT,VOGE,300 DS,300,"139,000",,,,,,
AKT,VOGE,300 DS,300,"139,500",,,,,,
AKT,VOGE,300 DS,300,"140,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"140,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"141,000",,,,,,
AKT,VOGE,300 DS,300,"141,500",,,,,,
AKT,VOGE,300 DS,300,"142,000",,,,,,
AKT,VOGE,300 DS,300,"142,500",,,,,,
AKT,VOGE,300 DS,300,"143,000",,,,,,
AKT,VOGE,300 DS,300,"143,500",,,,,,
AKT,VOGE,300 DS,300,"144,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"144,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"145,000",,,,,,
AKT,VOGE,300 DS,300,"145,500",,,,,,
AKT,VOGE,300 DS,300,"146,000",,,,,,
AKT,VOGE,300 DS,300,"146,500",,,,,,
AKT,VOGE,300 DS,300,"147,000",,,,,,
AKT,VOGE,300 DS,300,"147,500",,,,,,
AKT,VOGE,300 DS,300,"148,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"148,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"149,000",,,,,,
AKT,VOGE,300 DS,300,"149,500",,,,,,
AKT,VOGE,300 DS,300,"150,000",,,,,,
AKT,VOGE,300 DS,300,"150,500",,,,,,
AKT,VOGE,300 DS,300,"151,000",,,,,,
AKT,VOGE,300 DS,300,"151,500",,,,,,
AKT,VOGE,300 DS,300,"152,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"152,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"153,000",,,,,,
AKT,VOGE,300 DS,300,"153,500",,,,,,
AKT,VOGE,300 DS,300,"154,000",,,,,,
AKT,VOGE,300 DS,300,"154,500",,,,,,
AKT,VOGE,300 DS,300,"155,000",,,,,,
AKT,VOGE,300 DS,300,"155,500",,,,,,
AKT,VOGE,300 DS,300,"156,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"156,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"157,000",,,,,,
AKT,VOGE,300 DS,300,"157,500",,,,,,
AKT,VOGE,300 DS,300,"158,000",,,,,,
AKT,VOGE,300 DS,300,"158,500",,,,,,
AKT,VOGE,300 DS,300,"159,000",,,,,,
AKT,VOGE,300 DS,300,"159,500",,,,,,
AKT,VOGE,300 DS,300,"160,000",Aceite del motor,Filtro del aceite,,Bujía / Separación de electrodos,,
AKT,VOGE,300 DS,300,"160,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"161,000",,,,,,
AKT,VOGE,300 DS,300,"161,500",,,,,,
AKT,VOGE,300 DS,300,"162,000",,,,,,
AKT,VOGE,300 DS,300,"162,500",,,,,,
AKT,VOGE,300 DS,300,"163,000",,,,,,
AKT,VOGE,300 DS,300,"163,500",,,,,,
AKT,VOGE,300 DS,300,"164,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"164,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"165,000",,,,,,
AKT,VOGE,300 DS,300,"165,500",,,,,,
AKT,VOGE,300 DS,300,"166,000",,,,,,
AKT,VOGE,300 DS,300,"166,500",,,,,,
AKT,VOGE,300 DS,300,"167,000",,,,,,
AKT,VOGE,300 DS,300,"167,500",,,,,,
AKT,VOGE,300 DS,300,"168,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"168,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"169,000",,,,,,
AKT,VOGE,300 DS,300,"169,500",,,,,,
AKT,VOGE,300 DS,300,"170,000",,,,,,
AKT,VOGE,300 DS,300,"170,500",,,,,,
AKT,VOGE,300 DS,300,"171,000",,,,,,
AKT,VOGE,300 DS,300,"171,500",,,,,,
AKT,VOGE,300 DS,300,"172,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"172,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"173,000",,,,,,
AKT,VOGE,300 DS,300,"173,500",,,,,,
AKT,VOGE,300 DS,300,"174,000",,,,,,
AKT,VOGE,300 DS,300,"174,500",,,,,,
AKT,VOGE,300 DS,300,"175,000",,,,,,
AKT,VOGE,300 DS,300,"175,500",,,,,,
AKT,VOGE,300 DS,300,"176,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"176,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"177,000",,,,,,
AKT,VOGE,300 DS,300,"177,500",,,,,,
AKT,VOGE,300 DS,300,"178,000",,,,,,
AKT,VOGE,300 DS,300,"178,500",,,,,,
AKT,VOGE,300 DS,300,"179,000",,,,,,
AKT,VOGE,300 DS,300,"179,500",,,,,,
AKT,VOGE,300 DS,300,"180,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"180,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"181,000",,,,,,
AKT,VOGE,300 DS,300,"181,500",,,,,,
AKT,VOGE,300 DS,300,"182,000",,,,,,
AKT,VOGE,300 DS,300,"182,500",,,,,,
AKT,VOGE,300 DS,300,"183,000",,,,,,
AKT,VOGE,300 DS,300,"183,500",,,,,,
AKT,VOGE,300 DS,300,"184,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"184,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"185,000",,,,,,
AKT,VOGE,300 DS,300,"185,500",,,,,,
AKT,VOGE,300 DS,300,"186,000",,,,,,
AKT,VOGE,300 DS,300,"186,500",,,,,,
AKT,VOGE,300 DS,300,"187,000",,,,,,
AKT,VOGE,300 DS,300,"187,500",,,,,,
AKT,VOGE,300 DS,300,"188,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"188,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"189,000",,,,,,
AKT,VOGE,300 DS,300,"189,500",,,,,,
AKT,VOGE,300 DS,300,"190,000",,,,,,
AKT,VOGE,300 DS,300,"190,500",,,,,,
AKT,VOGE,300 DS,300,"191,000",,,,,,
AKT,VOGE,300 DS,300,"191,500",,,,,,
AKT,VOGE,300 DS,300,"192,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"192,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"193,000",,,,,,
AKT,VOGE,300 DS,300,"193,500",,,,,,
AKT,VOGE,300 DS,300,"194,000",,,,,,
AKT,VOGE,300 DS,300,"194,500",,,,,,
AKT,VOGE,300 DS,300,"195,000",,,,,,
AKT,VOGE,300 DS,300,"195,500",,,,,,
AKT,VOGE,300 DS,300,"196,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"196,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"197,000",,,,,,
AKT,VOGE,300 DS,300,"197,500",,,,,,
AKT,VOGE,300 DS,300,"198,000",,,,,,
AKT,VOGE,300 DS,300,"198,500",,,,,,
AKT,VOGE,300 DS,300,"199,000",,,,,,
AKT,VOGE,300 DS,300,"199,500",,,,,,
AKT,VOGE,300 DS,300,"200,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"200,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"201,000",,,,,,
AKT,VOGE,300 DS,300,"201,500",,,,,,
AKT,VOGE,300 DS,300,"202,000",,,,,,
AKT,VOGE,300 DS,300,"202,500",,,,,,
AKT,VOGE,300 DS,300,"203,000",,,,,,
AKT,VOGE,300 DS,300,"203,500",,,,,,
AKT,VOGE,300 DS,300,"204,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"204,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"205,000",,,,,,
AKT,VOGE,300 DS,300,"205,500",,,,,,
AKT,VOGE,300 DS,300,"206,000",,,,,,
AKT,VOGE,300 DS,300,"206,500",,,,,,
AKT,VOGE,300 DS,300,"207,000",,,,,,
AKT,VOGE,300 DS,300,"207,500",,,,,,
AKT,VOGE,300 DS,300,"208,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"208,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"209,000",,,,,,
AKT,VOGE,300 DS,300,"209,500",,,,,,
AKT,VOGE,300 DS,300,"210,000",,,,,,
AKT,VOGE,300 DS,300,"210,500",,,,,,
AKT,VOGE,300 DS,300,"211,000",,,,,,
AKT,VOGE,300 DS,300,"211,500",,,,,,
AKT,VOGE,300 DS,300,"212,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"212,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"213,000",,,,,,
AKT,VOGE,300 DS,300,"213,500",,,,,,
AKT,VOGE,300 DS,300,"214,000",,,,,,
AKT,VOGE,300 DS,300,"214,500",,,,,,
AKT,VOGE,300 DS,300,"215,000",,,,,,
AKT,VOGE,300 DS,300,"215,500",,,,,,
AKT,VOGE,300 DS,300,"216,000",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"216,500",Aceite del motor,Filtro del aceite,,,,
AKT,VOGE,300 DS,300,"217,000",,,,,,
AKT,VOGE,300 DS,300,"217,500",,,,,,
AKT,VOGE,300 DS,300,"218,000",,,,,,
AKT,VOGE,300 DS,300,"218,500",,,,,,
AKT,VOGE,300 DS,300,"219,000",,,,,,
AKT,VOGE,300 DS,300,"219,500",,,,,,
AKT,VOGE,300 DS,300,"220,000",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"220,500",Aceite del motor,,,,,
AKT,VOGE,300 DS,300,"221,000",,,,,,
AKT,VOGE,300 DS,300,"221,500",,,,,,
AKT,VOGE,300 DS,300,"222,000",,,,,,
AKT,VOGE,300 DS,300,"222,500",,,,,,
AKT,VOGE,300 DS,300,"223,000",,,,,,
AKT,VOGE,300 DS,300,"223,500",,,,,,
AKT,VOGE,300 DS,300,"224,000",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"224,500",Aceite del motor,Filtro del aceite,Bujía / Separación de electrodos,,,
AKT,VOGE,300 DS,300,"225,000",,,,,,
AKT,VOGE,300 DS,300,"225,500",,,,,,
AKT,VOGE,300 DS,300,"226,000",,,,,,
AKT,VOGE,300 DS,300,"226,500",,,,,,
